序号,词语,词性,词性解释,是否标点,是否空格,是否数字,词长
1,昔者,PROPN,专有名词,False,False,False,2
2,庄周,PROPN,专有名词,False,False,False,2
3,梦为,VERB,动词,False,False,False,2
4,胡蝶,PROPN,专有名词,False,False,False,2
5,，,PUNCT,标点,True,False,False,1
6,栩栩然,NOUN,名词,False,False,False,3
7,胡蝶,PROPN,专有名词,False,False,False,2
8,也,PART,助词,False,False,False,1
9,，,PUNCT,标点,True,False,False,1
10,自喻适志,NOUN,名词,False,False,False,4
11,与,PART,助词,False,False,False,1
12,！,PUNCT,标点,True,False,False,1
13,不知,VERB,动词,False,False,False,2
14,周,PROPN,专有名词,False,False,False,1
15,也,PART,助词,False,False,False,1
16,。,PUNCT,标点,True,False,False,1
17,俄然觉,NOUN,名词,False,False,False,3
18,，,PUNCT,标点,True,False,False,1
19,则,ADV,副词,False,False,False,1
20,蘧蘧然,NOUN,名词,False,False,False,3
21,周,PROPN,专有名词,False,False,False,1
22,也,PART,助词,False,False,False,1
23,。,PUNCT,标点,True,False,False,1
24,不知,VERB,动词,False,False,False,2
25,周之,PROPN,专有名词,False,False,False,2
26,梦为,VERB,动词,False,False,False,2
27,胡蝶,PROPN,专有名词,False,False,False,2
28,与,PART,助词,False,False,False,1
29,，,PUNCT,标点,True,False,False,1
30,胡蝶,PROPN,专有名词,False,False,False,2
31,之,PART,助词,False,False,False,1
32,梦为,VERB,动词,False,False,False,2
33,周,PROPN,专有名词,False,False,False,1
34,与,PART,助词,False,False,False,1
35,？,PUNCT,标点,True,False,False,1
36,周,PROPN,专有名词,False,False,False,1
37,与,PART,助词,False,False,False,1
38,胡蝶,PROPN,专有名词,False,False,False,2
39,，,PUNCT,标点,True,False,False,1
40,则,ADV,副词,False,False,False,1
41,必有,NOUN,名词,False,False,False,2
42,分,NUM,数词,False,False,False,1
43,矣,PART,助词,False,False,False,1
44,。,PUNCT,标点,True,False,False,1
45,此之谓,NOUN,名词,False,False,False,3
46,物化,NOUN,名词,False,False,False,2
47,。,PUNCT,标点,True,False,False,1
48,孔子,PROPN,专有名词,False,False,False,2
49,东游,VERB,动词,False,False,False,2
50,，,PUNCT,标点,True,False,False,1
51,见,VERB,动词,False,False,False,1
52,两小儿,NOUN,名词,False,False,False,3
53,辩斗,VERB,动词,False,False,False,2
54,，,PUNCT,标点,True,False,False,1
55,问其,NOUN,名词,False,False,False,2
56,故,CCONJ,连词,False,False,False,1
57,。,PUNCT,标点,True,False,False,1
58,一儿,NUM,数词,False,False,False,2
59,曰,VERB,动词,False,False,False,1
60,：,PUNCT,标点,True,False,False,1
61,我以,NOUN,名词,False,False,False,2
62,日始出,NOUN,名词,False,False,False,3
63,时去,NOUN,名词,False,False,False,2
64,人近,NOUN,名词,False,False,False,2
65,，,PUNCT,标点,True,False,False,1
66,而,CCONJ,连词,False,False,False,1
67,日中,NOUN,名词,False,False,False,2
68,时远,ADV,副词,False,False,False,2
69,也,PART,助词,False,False,False,1
70,。,PUNCT,标点,True,False,False,1
71,一儿,NUM,数词,False,False,False,2
72,以,ADP,介词,False,False,False,1
73,日初出,NOUN,名词,False,False,False,3
74,远,ADJ,形容词,False,False,False,1
75,，,PUNCT,标点,True,False,False,1
76,而,CCONJ,连词,False,False,False,1
77,日中,NOUN,名词,False,False,False,2
78,时近,NOUN,名词,False,False,False,2
79,也,PART,助词,False,False,False,1
80,。,PUNCT,标点,True,False,False,1
81,一儿,NUM,数词,False,False,False,2
82,曰,VERB,动词,False,False,False,1
83,：,PUNCT,标点,True,False,False,1
84,日初出,NOUN,名词,False,False,False,3
85,大如,NOUN,名词,False,False,False,2
86,车盖,NOUN,名词,False,False,False,2
87,，,PUNCT,标点,True,False,False,1
88,及,CCONJ,连词,False,False,False,1
89,日中,NOUN,名词,False,False,False,2
90,则,ADV,副词,False,False,False,1
91,如,VERB,动词,False,False,False,1
92,盘盂,NOUN,名词,False,False,False,2
93,，,PUNCT,标点,True,False,False,1
94,此不为,PROPN,专有名词,False,False,False,3
95,远者,NOUN,名词,False,False,False,2
96,小,ADJ,形容词,False,False,False,1
97,而,CCONJ,连词,False,False,False,1
98,近者,NOUN,名词,False,False,False,2
99,大乎,ADV,副词,False,False,False,2
100,？,PUNCT,标点,True,False,False,1
101,一儿,NUM,数词,False,False,False,2
102,曰,VERB,动词,False,False,False,1
103,：,PUNCT,标点,True,False,False,1
104,日初出,NOUN,名词,False,False,False,3
105,沧沧凉凉,NOUN,名词,False,False,False,4
106,，,PUNCT,标点,True,False,False,1
107,及其,CCONJ,连词,False,False,False,2
108,日中,NOUN,名词,False,False,False,2
109,如,VERB,动词,False,False,False,1
110,探汤,VERB,动词,False,False,False,2
111,，,PUNCT,标点,True,False,False,1
112,此不为,PROPN,专有名词,False,False,False,3
113,近者,NOUN,名词,False,False,False,2
114,热,ADJ,形容词,False,False,False,1
115,而,CCONJ,连词,False,False,False,1
116,远者,NOUN,名词,False,False,False,2
117,凉乎,NOUN,名词,False,False,False,2
118,？,PUNCT,标点,True,False,False,1
119,孔子,PROPN,专有名词,False,False,False,2
120,不能,VERB,动词,False,False,False,2
121,决,ADV,副词,False,False,False,1
122,也,PART,助词,False,False,False,1
123,。,PUNCT,标点,True,False,False,1
124,两小儿,NOUN,名词,False,False,False,3
125,笑,VERB,动词,False,False,False,1
126,曰,VERB,动词,False,False,False,1
127,：,PUNCT,标点,True,False,False,1
128,孰为,NOUN,名词,False,False,False,2
129,汝,PRON,代词,False,False,False,1
130,多知,ADJ,形容词,False,False,False,2
131,乎,PART,助词,False,False,False,1
132,？,PUNCT,标点,True,False,False,1
133,晋,PROPN,专有名词,False,False,False,1
134,太元,NOUN,名词,False,False,False,2
135,中,NOUN,名词,False,False,False,1
136,，,PUNCT,标点,True,False,False,1
137,武陵人,NOUN,名词,False,False,False,3
138,捕鱼,VERB,动词,False,False,False,2
139,为业,NOUN,名词,False,False,False,2
140,。,PUNCT,标点,True,False,False,1
141,缘溪,VERB,动词,False,False,False,2
142,行,VERB,动词,False,False,False,1
143,，,PUNCT,标点,True,False,False,1
144,忘路,VERB,动词,False,False,False,2
145,之,PART,助词,False,False,False,1
146,远近,NOUN,名词,False,False,False,2
147,。,PUNCT,标点,True,False,False,1
148,忽逢,VERB,动词,False,False,False,2
149,桃花林,PROPN,专有名词,False,False,False,3
150,，,PUNCT,标点,True,False,False,1
151,夹岸,VERB,动词,False,False,False,2
152,数百步,NUM,数词,False,False,False,3
153,，,PUNCT,标点,True,False,False,1
154,中,NOUN,名词,False,False,False,1
155,无,VERB,动词,False,False,False,1
156,杂树,NOUN,名词,False,False,False,2
157,，,PUNCT,标点,True,False,False,1
158,芳草,NOUN,名词,False,False,False,2
159,鲜美,ADJ,形容词,False,False,False,2
160,，,PUNCT,标点,True,False,False,1
161,落英缤纷,NOUN,名词,False,False,False,4
162,。,PUNCT,标点,True,False,False,1
163,渔人,NOUN,名词,False,False,False,2
164,甚异,NOUN,名词,False,False,False,2
165,之,PART,助词,False,False,False,1
166,，,PUNCT,标点,True,False,False,1
167,复,ADV,副词,False,False,False,1
168,前行,VERB,动词,False,False,False,2
169,，,PUNCT,标点,True,False,False,1
170,欲,ADV,副词,False,False,False,1
171,穷,NOUN,名词,False,False,False,1
172,其林,NOUN,名词,False,False,False,2
173,。,PUNCT,标点,True,False,False,1
174,林尽,PROPN,专有名词,False,False,False,2
175,水源,NOUN,名词,False,False,False,2
176,，,PUNCT,标点,True,False,False,1
177,便,ADV,副词,False,False,False,1
178,得,VERB,动词,False,False,False,1
179,一山,NOUN,名词,False,False,False,2
180,，,PUNCT,标点,True,False,False,1
181,山有,NOUN,名词,False,False,False,2
182,小口,NOUN,名词,False,False,False,2
183,，,PUNCT,标点,True,False,False,1
184,仿佛,ADV,副词,False,False,False,2
185,若有光,PROPN,专有名词,False,False,False,3
186,。,PUNCT,标点,True,False,False,1
187,便,ADV,副词,False,False,False,1
188,舍船,VERB,动词,False,False,False,2
189,，,PUNCT,标点,True,False,False,1
190,从口入,PROPN,专有名词,False,False,False,3
191,。,PUNCT,标点,True,False,False,1
192,初,ADV,副词,False,False,False,1
193,极狭,ADJ,形容词,False,False,False,2
194,，,PUNCT,标点,True,False,False,1
195,才,ADV,副词,False,False,False,1
196,通人,NOUN,名词,False,False,False,2
197,。,PUNCT,标点,True,False,False,1
198,复行,VERB,动词,False,False,False,2
199,数十步,NUM,数词,False,False,False,3
200,，,PUNCT,标点,True,False,False,1
201,豁然开朗,NOUN,名词,False,False,False,4
202,。,PUNCT,标点,True,False,False,1
203,土地,NOUN,名词,False,False,False,2
204,平旷,ADJ,形容词,False,False,False,2
205,，,PUNCT,标点,True,False,False,1
206,屋舍俨然,NOUN,名词,False,False,False,4
207,，,PUNCT,标点,True,False,False,1
208,有,VERB,动词,False,False,False,1
209,良田,NOUN,名词,False,False,False,2
210,、,PUNCT,标点,True,False,False,1
211,美池,NOUN,名词,False,False,False,2
212,、,PUNCT,标点,True,False,False,1
213,桑竹,NOUN,名词,False,False,False,2
214,之属,NOUN,名词,False,False,False,2
215,。,PUNCT,标点,True,False,False,1
216,阡陌,NOUN,名词,False,False,False,2
217,交通,NOUN,名词,False,False,False,2
218,，,PUNCT,标点,True,False,False,1
219,鸡犬相闻,NOUN,名词,False,False,False,4
220,。,PUNCT,标点,True,False,False,1
221,其中,PRON,代词,False,False,False,2
222,往来,NOUN,名词,False,False,False,2
223,种作,VERB,动词,False,False,False,2
224,，,PUNCT,标点,True,False,False,1
225,男女,NOUN,名词,False,False,False,2
226,衣着,NOUN,名词,False,False,False,2
227,，,PUNCT,标点,True,False,False,1
228,悉,ADV,副词,False,False,False,1
229,如,VERB,动词,False,False,False,1
230,外人,NOUN,名词,False,False,False,2
231,。,PUNCT,标点,True,False,False,1
232,黄发垂髫,NOUN,名词,False,False,False,4
233,，,PUNCT,标点,True,False,False,1
234,并,ADV,副词,False,False,False,1
235,怡然自乐,NOUN,名词,False,False,False,4
236,。,PUNCT,标点,True,False,False,1
237,孟子曰,PROPN,专有名词,False,False,False,3
238,：,PUNCT,标点,True,False,False,1
239,天时不如地利,NOUN,名词,False,False,False,6
240,，,PUNCT,标点,True,False,False,1
241,地利不如人和,NOUN,名词,False,False,False,6
242,。,PUNCT,标点,True,False,False,1
243,三里,NUM,数词,False,False,False,2
244,之,PART,助词,False,False,False,1
245,城,NOUN,名词,False,False,False,1
246,，,PUNCT,标点,True,False,False,1
247,七里,NUM,数词,False,False,False,2
248,之,PART,助词,False,False,False,1
249,郭,PROPN,专有名词,False,False,False,1
250,，,PUNCT,标点,True,False,False,1
251,环而攻之,NOUN,名词,False,False,False,4
252,而,CCONJ,连词,False,False,False,1
253,不胜,VERB,动词,False,False,False,2
254,。,PUNCT,标点,True,False,False,1
255,夫,PRON,代词,False,False,False,1
256,环而攻之,NOUN,名词,False,False,False,4
257,，,PUNCT,标点,True,False,False,1
258,必有,NOUN,名词,False,False,False,2
259,得,VERB,动词,False,False,False,1
260,天时,NOUN,名词,False,False,False,2
261,者,PART,助词,False,False,False,1
262,矣,PART,助词,False,False,False,1
263,，,PUNCT,标点,True,False,False,1
264,然而,CCONJ,连词,False,False,False,2
265,不,ADV,副词,False,False,False,1
266,胜者,NOUN,名词,False,False,False,2
267,，,PUNCT,标点,True,False,False,1
268,是,PRON,代词,False,False,False,1
269,天时不如地利,NOUN,名词,False,False,False,6
270,也,PART,助词,False,False,False,1
271,。,PUNCT,标点,True,False,False,1
272,城非,PROPN,专有名词,False,False,False,2
273,不,ADV,副词,False,False,False,1
274,高,ADJ,形容词,False,False,False,1
275,也,PART,助词,False,False,False,1
276,，,PUNCT,标点,True,False,False,1
277,池非,PROPN,专有名词,False,False,False,2
278,不深,NOUN,名词,False,False,False,2
279,也,PART,助词,False,False,False,1
280,，,PUNCT,标点,True,False,False,1
281,兵革,NOUN,名词,False,False,False,2
282,非,ADV,副词,False,False,False,1
283,不,ADV,副词,False,False,False,1
284,坚利,ADJ,形容词,False,False,False,2
285,也,PART,助词,False,False,False,1
286,，,PUNCT,标点,True,False,False,1
287,米粟,NOUN,名词,False,False,False,2
288,非不多,NOUN,名词,False,False,False,3
289,也,PART,助词,False,False,False,1
290,，,PUNCT,标点,True,False,False,1
291,委而去之,NOUN,名词,False,False,False,4
292,，,PUNCT,标点,True,False,False,1
293,是,PRON,代词,False,False,False,1
294,地利不如人和,NOUN,名词,False,False,False,6
295,也,PART,助词,False,False,False,1
296,。,PUNCT,标点,True,False,False,1
297,故曰,CCONJ,连词,False,False,False,2
298,：,PUNCT,标点,True,False,False,1
299,域民,VERB,动词,False,False,False,2
300,不,ADV,副词,False,False,False,1
301,以,ADP,介词,False,False,False,1
302,封疆,NOUN,名词,False,False,False,2
303,之界,PRON,代词,False,False,False,2
304,，,PUNCT,标点,True,False,False,1
305,固国,VERB,动词,False,False,False,2
306,不,ADV,副词,False,False,False,1
307,以,ADP,介词,False,False,False,1
308,山溪,NOUN,名词,False,False,False,2
309,之险,NOUN,名词,False,False,False,2
310,，,PUNCT,标点,True,False,False,1
311,威天下,VERB,动词,False,False,False,3
312,不,ADV,副词,False,False,False,1
313,以,ADP,介词,False,False,False,1
314,兵革,NOUN,名词,False,False,False,2
315,之,PART,助词,False,False,False,1
316,利,NOUN,名词,False,False,False,1
317,。,PUNCT,标点,True,False,False,1
318,得道者多助,NOUN,名词,False,False,False,5
319,，,PUNCT,标点,True,False,False,1
320,失道者寡助,NOUN,名词,False,False,False,5
321,。,PUNCT,标点,True,False,False,1
322,寡助,VERB,动词,False,False,False,2
323,之,PART,助词,False,False,False,1
324,至,VERB,动词,False,False,False,1
325,，,PUNCT,标点,True,False,False,1
326,亲戚,NOUN,名词,False,False,False,2
327,畔,NOUN,名词,False,False,False,1
328,之,PART,助词,False,False,False,1
329,。,PUNCT,标点,True,False,False,1
330,多助,NOUN,名词,False,False,False,2
331,之,PART,助词,False,False,False,1
332,至,VERB,动词,False,False,False,1
333,，,PUNCT,标点,True,False,False,1
334,天下,PROPN,专有名词,False,False,False,2
335,顺之,ADP,介词,False,False,False,2
336,。,PUNCT,标点,True,False,False,1
337,以,ADP,介词,False,False,False,1
338,天下,PROPN,专有名词,False,False,False,2
339,之所顺,PROPN,专有名词,False,False,False,3
340,，,PUNCT,标点,True,False,False,1
341,攻,VERB,动词,False,False,False,1
342,亲戚,NOUN,名词,False,False,False,2
343,之所畔,PROPN,专有名词,False,False,False,3
344,，,PUNCT,标点,True,False,False,1
345,故,CCONJ,连词,False,False,False,1
346,君子,NOUN,名词,False,False,False,2
347,有,VERB,动词,False,False,False,1
348,不战,VERB,动词,False,False,False,2
349,，,PUNCT,标点,True,False,False,1
350,战,VERB,动词,False,False,False,1
351,必胜,VERB,动词,False,False,False,2
352,矣,PART,助词,False,False,False,1
353,。,PUNCT,标点,True,False,False,1
354,滕文公,PROPN,专有名词,False,False,False,3
355,问,VERB,动词,False,False,False,1
356,曰,VERB,动词,False,False,False,1
357,：,PUNCT,标点,True,False,False,1
358,滕,PROPN,专有名词,False,False,False,1
359,，,PUNCT,标点,True,False,False,1
360,小国,PROPN,专有名词,False,False,False,2
361,也,PART,助词,False,False,False,1
362,，,PUNCT,标点,True,False,False,1
363,间于,NOUN,名词,False,False,False,2
364,齐楚,ADJ,形容词,False,False,False,2
365,。,PUNCT,标点,True,False,False,1
366,事齐乎,PROPN,专有名词,False,False,False,3
367,？,PUNCT,标点,True,False,False,1
368,事楚乎,PROPN,专有名词,False,False,False,3
369,？,PUNCT,标点,True,False,False,1
370,孟子,PROPN,专有名词,False,False,False,2
371,对,VERB,动词,False,False,False,1
372,曰,VERB,动词,False,False,False,1
373,：,PUNCT,标点,True,False,False,1
374,是,PRON,代词,False,False,False,1
375,谋,NOUN,名词,False,False,False,1
376,非吾所能,PROPN,专有名词,False,False,False,4
377,及,CCONJ,连词,False,False,False,1
378,也,PART,助词,False,False,False,1
379,。,PUNCT,标点,True,False,False,1
380,无,VERB,动词,False,False,False,1
381,已,ADV,副词,False,False,False,1
382,，,PUNCT,标点,True,False,False,1
383,则,ADV,副词,False,False,False,1
384,有,VERB,动词,False,False,False,1
385,一焉,NOUN,名词,False,False,False,2
386,：,PUNCT,标点,True,False,False,1
387,凿斯,VERB,动词,False,False,False,2
388,池,NOUN,名词,False,False,False,1
389,也,PART,助词,False,False,False,1
390,，,PUNCT,标点,True,False,False,1
391,筑斯,VERB,动词,False,False,False,2
392,城,NOUN,名词,False,False,False,1
393,也,PART,助词,False,False,False,1
394,，,PUNCT,标点,True,False,False,1
395,与民守,PROPN,专有名词,False,False,False,3
396,之,PART,助词,False,False,False,1
397,，,PUNCT,标点,True,False,False,1
398,效死,VERB,动词,False,False,False,2
399,而民弗去,PROPN,专有名词,False,False,False,4
400,，,PUNCT,标点,True,False,False,1
401,则,ADV,副词,False,False,False,1
402,是,PRON,代词,False,False,False,1
403,可,NOUN,名词,False,False,False,1
404,为,VERB,动词,False,False,False,1
405,也,PART,助词,False,False,False,1
406,。,PUNCT,标点,True,False,False,1
407,太史公,PROPN,专有名词,False,False,False,3
408,曰,VERB,动词,False,False,False,1
409,：,PUNCT,标点,True,False,False,1
410,诗有,NOUN,名词,False,False,False,2
411,之,PART,助词,False,False,False,1
412,：,PUNCT,标点,True,False,False,1
413,高山仰止,NOUN,名词,False,False,False,4
414,，,PUNCT,标点,True,False,False,1
415,景行行止,NOUN,名词,False,False,False,4
416,。,PUNCT,标点,True,False,False,1
417,虽,CCONJ,连词,False,False,False,1
418,不能,VERB,动词,False,False,False,2
419,至,VERB,动词,False,False,False,1
420,，,PUNCT,标点,True,False,False,1
421,然,CCONJ,连词,False,False,False,1
422,心乡往之,NOUN,名词,False,False,False,4
423,。,PUNCT,标点,True,False,False,1
424,余读,NOUN,名词,False,False,False,2
425,孔氏,PROPN,专有名词,False,False,False,2
426,书,NOUN,名词,False,False,False,1
427,，,PUNCT,标点,True,False,False,1
428,想见,VERB,动词,False,False,False,2
429,其为,NOUN,名词,False,False,False,2
430,人,NOUN,名词,False,False,False,1
431,。,PUNCT,标点,True,False,False,1
432,适鲁,VERB,动词,False,False,False,2
433,，,PUNCT,标点,True,False,False,1
434,观,VERB,动词,False,False,False,1
435,仲尼,PROPN,专有名词,False,False,False,2
436,庙堂,NOUN,名词,False,False,False,2
437,车服,NOUN,名词,False,False,False,2
438,礼器,NOUN,名词,False,False,False,2
439,，,PUNCT,标点,True,False,False,1
440,诸生,NOUN,名词,False,False,False,2
441,以时,CCONJ,连词,False,False,False,2
442,习礼,VERB,动词,False,False,False,2
443,其,PRON,代词,False,False,False,1
444,家,NUM,数词,False,False,False,1
445,，,PUNCT,标点,True,False,False,1
446,余,NUM,数词,False,False,False,1
447,祗回,VERB,动词,False,False,False,2
448,留,VERB,动词,False,False,False,1
449,之,PART,助词,False,False,False,1
450,不能,VERB,动词,False,False,False,2
451,去,VERB,动词,False,False,False,1
452,云,VERB,动词,False,False,False,1
453,。,PUNCT,标点,True,False,False,1
454,天下,PROPN,专有名词,False,False,False,2
455,君王,NOUN,名词,False,False,False,2
456,至于,ADP,介词,False,False,False,2
457,贤人,NOUN,名词,False,False,False,2
458,众,NOUN,名词,False,False,False,1
459,矣,PART,助词,False,False,False,1
460,，,PUNCT,标点,True,False,False,1
461,当时,NOUN,名词,False,False,False,2
462,则,ADV,副词,False,False,False,1
463,荣,VERB,动词,False,False,False,1
464,，,PUNCT,标点,True,False,False,1
465,没则,NOUN,名词,False,False,False,2
466,已,ADV,副词,False,False,False,1
467,焉,PART,助词,False,False,False,1
468,。,PUNCT,标点,True,False,False,1
469,孔子,PROPN,专有名词,False,False,False,2
470,布衣,NOUN,名词,False,False,False,2
471,，,PUNCT,标点,True,False,False,1
472,传,VERB,动词,False,False,False,1
473,十余,NUM,数词,False,False,False,2
474,世,NOUN,名词,False,False,False,1
475,，,PUNCT,标点,True,False,False,1
476,学者,NOUN,名词,False,False,False,2
477,宗之,PROPN,专有名词,False,False,False,2
478,。,PUNCT,标点,True,False,False,1
479,自,ADP,介词,False,False,False,1
480,天子,NOUN,名词,False,False,False,2
481,王侯,NOUN,名词,False,False,False,2
482,，,PUNCT,标点,True,False,False,1
483,中国,PROPN,专有名词,False,False,False,2
484,言,VERB,动词,False,False,False,1
485,六艺,NOUN,名词,False,False,False,2
486,者,PART,助词,False,False,False,1
487,折中,VERB,动词,False,False,False,2
488,于,ADP,介词,False,False,False,1
489,夫子,NOUN,名词,False,False,False,2
490,，,PUNCT,标点,True,False,False,1
491,可谓,VERB,动词,False,False,False,2
492,至圣,PROPN,专有名词,False,False,False,2
493,矣,PART,助词,False,False,False,1
494,！,PUNCT,标点,True,False,False,1
495,孙子,PROPN,专有名词,False,False,False,2
496,曰,VERB,动词,False,False,False,1
497,：,PUNCT,标点,True,False,False,1
498,兵者,NOUN,名词,False,False,False,2
499,，,PUNCT,标点,True,False,False,1
500,国之,NOUN,名词,False,False,False,2
501,大事,NOUN,名词,False,False,False,2
502,，,PUNCT,标点,True,False,False,1
503,死生,NOUN,名词,False,False,False,2
504,之地,NOUN,名词,False,False,False,2
505,，,PUNCT,标点,True,False,False,1
506,存亡,NOUN,名词,False,False,False,2
507,之道,NOUN,名词,False,False,False,2
508,，,PUNCT,标点,True,False,False,1
509,不可不察,NOUN,名词,False,False,False,4
510,也,PART,助词,False,False,False,1
511,。,PUNCT,标点,True,False,False,1
512,故经,ADV,副词,False,False,False,2
513,之,PART,助词,False,False,False,1
514,以五事,PROPN,专有名词,False,False,False,3
515,，,PUNCT,标点,True,False,False,1
516,校之,VERB,动词,False,False,False,2
517,以计,NOUN,名词,False,False,False,2
518,，,PUNCT,标点,True,False,False,1
519,而,CCONJ,连词,False,False,False,1
520,索其,VERB,动词,False,False,False,2
521,情,NOUN,名词,False,False,False,1
522,：,PUNCT,标点,True,False,False,1
523,一,NUM,数词,False,False,False,1
524,曰,VERB,动词,False,False,False,1
525,道,NOUN,名词,False,False,False,1
526,，,PUNCT,标点,True,False,False,1
527,二,NUM,数词,False,False,False,1
528,曰,VERB,动词,False,False,False,1
529,天,NOUN,名词,False,False,False,1
530,，,PUNCT,标点,True,False,False,1
531,三,NUM,数词,False,False,False,1
532,曰,VERB,动词,False,False,False,1
533,地,NOUN,名词,False,False,False,1
534,，,PUNCT,标点,True,False,False,1
535,四,NUM,数词,False,False,False,1
536,曰,VERB,动词,False,False,False,1
537,将,ADV,副词,False,False,False,1
538,，,PUNCT,标点,True,False,False,1
539,五曰法,PROPN,专有名词,False,False,False,3
540,。,PUNCT,标点,True,False,False,1
541,道者,NOUN,名词,False,False,False,2
542,，,PUNCT,标点,True,False,False,1
543,令民,NOUN,名词,False,False,False,2
544,与,PART,助词,False,False,False,1
545,上,NOUN,名词,False,False,False,1
546,同意,ADV,副词,False,False,False,2
547,也,PART,助词,False,False,False,1
548,，,PUNCT,标点,True,False,False,1
549,故,CCONJ,连词,False,False,False,1
550,可以,CCONJ,连词,False,False,False,2
551,与,PART,助词,False,False,False,1
552,之,PART,助词,False,False,False,1
553,死,VERB,动词,False,False,False,1
554,，,PUNCT,标点,True,False,False,1
555,可以,CCONJ,连词,False,False,False,2
556,与,PART,助词,False,False,False,1
557,之生,NOUN,名词,False,False,False,2
558,，,PUNCT,标点,True,False,False,1
559,而,CCONJ,连词,False,False,False,1
560,不畏,VERB,动词,False,False,False,2
561,危,VERB,动词,False,False,False,1
562,。,PUNCT,标点,True,False,False,1
563,天者,NOUN,名词,False,False,False,2
564,，,PUNCT,标点,True,False,False,1
565,阴阳,NOUN,名词,False,False,False,2
566,、,PUNCT,标点,True,False,False,1
567,寒暑,NOUN,名词,False,False,False,2
568,、,PUNCT,标点,True,False,False,1
569,时制,NOUN,名词,False,False,False,2
570,也,PART,助词,False,False,False,1
571,。,PUNCT,标点,True,False,False,1
572,地者,NOUN,名词,False,False,False,2
573,，,PUNCT,标点,True,False,False,1
574,远近,NOUN,名词,False,False,False,2
575,、,PUNCT,标点,True,False,False,1
576,险易,NOUN,名词,False,False,False,2
577,、,PUNCT,标点,True,False,False,1
578,广狭,NOUN,名词,False,False,False,2
579,、,PUNCT,标点,True,False,False,1
580,死生,NOUN,名词,False,False,False,2
581,也,PART,助词,False,False,False,1
582,。,PUNCT,标点,True,False,False,1
583,将者,NOUN,名词,False,False,False,2
584,，,PUNCT,标点,True,False,False,1
585,智,NOUN,名词,False,False,False,1
586,、,PUNCT,标点,True,False,False,1
587,信,ADV,副词,False,False,False,1
588,、,PUNCT,标点,True,False,False,1
589,仁,NOUN,名词,False,False,False,1
590,、,PUNCT,标点,True,False,False,1
591,勇,NOUN,名词,False,False,False,1
592,、,PUNCT,标点,True,False,False,1
593,严,ADJ,形容词,False,False,False,1
594,也,PART,助词,False,False,False,1
595,。,PUNCT,标点,True,False,False,1
596,法者,NOUN,名词,False,False,False,2
597,，,PUNCT,标点,True,False,False,1
598,曲制,NOUN,名词,False,False,False,2
599,、,PUNCT,标点,True,False,False,1
600,官道,NOUN,名词,False,False,False,2
601,、,PUNCT,标点,True,False,False,1
602,主用,NOUN,名词,False,False,False,2
603,也,PART,助词,False,False,False,1
604,。,PUNCT,标点,True,False,False,1
605,凡此,ADV,副词,False,False,False,2
606,五者,NOUN,名词,False,False,False,2
607,，,PUNCT,标点,True,False,False,1
608,将,ADV,副词,False,False,False,1
609,莫不,ADV,副词,False,False,False,2
610,闻,VERB,动词,False,False,False,1
611,，,PUNCT,标点,True,False,False,1
612,知之者,NOUN,名词,False,False,False,3
613,胜,VERB,动词,False,False,False,1
614,，,PUNCT,标点,True,False,False,1
615,不知者,NOUN,名词,False,False,False,3
616,不胜,VERB,动词,False,False,False,2
617,。,PUNCT,标点,True,False,False,1
618,故,CCONJ,连词,False,False,False,1
619,校之,VERB,动词,False,False,False,2
620,以计,NOUN,名词,False,False,False,2
621,，,PUNCT,标点,True,False,False,1
622,而,CCONJ,连词,False,False,False,1
623,索其,VERB,动词,False,False,False,2
624,情,NOUN,名词,False,False,False,1
625,，,PUNCT,标点,True,False,False,1
626,曰,VERB,动词,False,False,False,1
627,：,PUNCT,标点,True,False,False,1
628,主孰有,PROPN,专有名词,False,False,False,3
629,道,NOUN,名词,False,False,False,1
630,？,PUNCT,标点,True,False,False,1
631,将,ADV,副词,False,False,False,1
632,孰,PRON,代词,False,False,False,1
633,有,VERB,动词,False,False,False,1
634,能,VERB,动词,False,False,False,1
635,？,PUNCT,标点,True,False,False,1
636,天地,NOUN,名词,False,False,False,2
637,孰得,NOUN,名词,False,False,False,2
638,？,PUNCT,标点,True,False,False,1
639,法令,NOUN,名词,False,False,False,2
640,孰行,NOUN,名词,False,False,False,2
641,？,PUNCT,标点,True,False,False,1
642,兵众,NOUN,名词,False,False,False,2
643,孰强,NOUN,名词,False,False,False,2
644,？,PUNCT,标点,True,False,False,1
645,士卒,NOUN,名词,False,False,False,2
646,孰练,NOUN,名词,False,False,False,2
647,？,PUNCT,标点,True,False,False,1
648,赏罚,NOUN,名词,False,False,False,2
649,孰明,NOUN,名词,False,False,False,2
650,？,PUNCT,标点,True,False,False,1
651,吾,PRON,代词,False,False,False,1
652,以此,CCONJ,连词,False,False,False,2
653,知,VERB,动词,False,False,False,1
654,胜负,NOUN,名词,False,False,False,2
655,矣,PART,助词,False,False,False,1
656,。,PUNCT,标点,True,False,False,1
